warnings,steps,time,difference,activeCollisions,collisionStarts,characters,bodies,raycasts,clears,unblocks,explores,flees,pursues
1,1,1680982324945,38628,0,11,2,81,0,2338095,0,1,0,0
1,2,1680982324960,15,8,2,2,82,0,326,0,1,0,0
1,3,1680982324988,28,7,2,2,82,0,8,0,0,0,0
1,4,1680982325003,15,6,1,2,82,0,8,0,0,0,0
1,5,1680982325019,16,7,1,2,82,0,8,0,0,0,0
1,6,1680982325035,16,7,1,2,82,0,8,0,0,0,0
1,7,1680982325052,17,8,1,2,82,0,8,0,0,0,0
1,8,1680982325068,16,9,0,2,82,0,8,0,0,0,0
1,9,1680982325087,19,9,0,2,82,0,8,0,0,0,0
1,10,1680982325102,15,9,1,2,82,0,8,0,0,0,0
1,11,1680982325117,15,10,0,2,82,0,6,0,0,0,0
1,12,1680982325133,16,9,1,2,82,0,6,0,0,0,0
1,13,1680982325150,17,10,0,2,82,0,6,0,0,0,0
1,14,1680982325167,17,10,0,2,82,0,6,0,0,0,0
1,15,1680982325184,17,10,3,2,82,0,6,0,0,0,0
1,16,1680982325200,16,11,0,2,82,0,6,0,0,0,0
1,17,1680982325215,15,10,0,2,82,0,6,0,0,0,0
1,18,1680982325231,16,10,0,2,82,0,6,0,0,0,0
1,19,1680982325249,18,10,0,2,82,0,6,0,0,0,0
1,20,1680982325263,14,10,0,2,82,0,6,0,0,0,0
1,21,1680982325279,16,9,0,2,82,0,6,0,0,0,0
1,22,1680982325297,18,7,1,2,82,0,6,0,0,0,0
1,23,1680982325312,15,7,0,2,82,0,6,0,0,0,0
1,24,1680982325329,17,7,0,2,82,0,6,0,0,0,0
1,25,1680982325346,17,7,0,2,82,0,6,0,0,0,0
1,26,1680982325362,16,7,0,2,82,0,6,0,0,0,0
1,27,1680982325378,16,7,0,2,82,0,6,0,0,0,0
1,28,1680982325394,16,7,0,2,82,0,6,0,0,0,0
1,29,1680982325410,16,7,0,2,82,0,6,0,0,0,0
1,30,1680982325427,17,7,0,2,82,0,6,0,0,0,0
1,31,1680982325443,16,7,0,2,82,0,6,0,0,0,0
1,32,1680982325460,17,7,0,2,82,0,6,0,0,0,0
1,33,1680982325475,15,7,0,2,82,0,6,0,0,0,0
1,34,1680982325493,18,7,1,2,82,0,6,0,0,0,0
1,35,1680982325509,16,7,0,2,82,0,6,0,0,0,0
1,36,1680982325525,16,6,0,2,82,0,6,0,0,0,0
1,37,1680982325541,16,6,0,2,82,0,6,0,0,0,0
1,38,1680982325558,17,6,1,2,82,0,6,0,0,0,0
1,39,1680982325574,16,7,1,2,82,0,6,0,0,0,0
1,40,1680982325590,16,8,1,2,82,0,6,0,0,0,0
1,41,1680982325606,16,8,1,2,82,0,6,0,0,0,0
1,42,1680982325623,17,9,1,2,82,0,6,0,0,0,0
1,43,1680982325640,17,10,0,2,82,0,6,0,0,0,0
1,44,1680982325656,16,9,0,2,82,0,6,0,0,0,0
1,45,1680982325672,16,9,0,2,82,0,6,0,0,0,0
1,46,1680982325689,17,9,0,2,82,0,6,0,0,0,0
1,47,1680982325705,16,9,0,2,82,0,6,0,0,0,0
1,48,1680982325721,16,9,0,2,82,0,6,0,0,0,0
1,49,1680982325738,17,9,0,2,82,0,6,0,0,0,0
1,50,1680982325754,16,9,0,2,82,0,6,0,0,0,0
1,51,1680982325770,16,9,0,2,82,0,6,0,0,0,0
1,52,1680982325786,16,9,0,2,82,0,6,0,0,0,0
1,53,1680982325802,16,9,0,2,82,0,6,0,0,0,0
1,54,1680982325818,16,9,0,2,82,0,6,0,0,0,0
1,55,1680982325835,17,9,0,2,82,0,6,0,0,0,0
1,56,1680982325850,15,9,1,2,82,0,6,0,0,0,0
1,57,1680982325865,15,10,0,2,82,0,6,0,0,0,0
1,58,1680982325882,17,10,0,2,82,0,6,0,0,0,0
1,59,1680982325900,18,10,0,2,82,0,6,0,0,0,0
1,60,1680982325914,14,10,0,2,82,0,6,0,0,0,0
1,61,1680982325930,16,9,0,2,82,0,6,0,0,0,0
1,62,1680982325947,17,9,0,2,82,0,6,0,0,0,0
1,63,1680982325963,16,9,0,3,82,0,6,0,0,0,0
1,64,1680982325979,16,8,0,3,83,0,12,0,1,0,0
1,65,1680982325994,15,8,0,3,83,0,9,0,0,0,0
1,66,1680982326011,17,8,0,3,83,0,9,0,0,0,0
1,67,1680982326028,17,8,0,3,83,0,9,0,0,0,0
1,68,1680982326045,17,8,0,3,83,0,9,0,0,0,0
1,69,1680982326062,17,8,0,3,83,0,9,0,0,0,0
1,70,1680982326078,16,8,0,3,83,0,9,0,0,0,0
1,71,1680982326094,16,8,0,3,83,0,9,0,0,0,0
1,72,1680982326110,16,8,0,3,83,0,9,0,0,0,0
1,73,1680982326126,16,8,0,3,83,0,9,0,0,0,0
1,74,1680982326142,16,8,0,3,83,0,9,0,0,0,0
1,75,1680982326157,15,8,0,3,83,0,9,0,0,0,0
1,76,1680982326174,17,8,0,3,83,0,9,0,0,0,0
1,77,1680982326190,16,8,0,3,83,0,9,0,0,0,0
1,78,1680982326207,17,7,0,3,83,0,9,0,0,0,0
1,79,1680982326223,16,7,0,3,83,0,9,0,0,0,0
1,80,1680982326239,16,7,1,3,83,0,9,0,0,0,0
1,81,1680982326255,16,8,0,3,83,0,9,0,0,0,0
1,82,1680982326271,16,8,0,3,83,0,9,0,0,0,0
1,83,1680982326287,16,8,0,3,83,0,9,0,0,0,0
1,84,1680982326303,16,8,0,3,83,0,9,0,0,0,0
1,85,1680982326319,16,8,0,3,83,0,9,0,0,0,0
1,86,1680982326335,16,8,0,3,83,0,9,0,0,0,0
1,87,1680982326351,16,8,0,3,83,0,9,0,0,0,0
1,88,1680982326367,16,8,0,3,83,0,9,0,0,0,0
1,89,1680982326383,16,8,0,3,83,0,9,0,0,0,0
1,90,1680982326400,17,8,0,3,83,0,9,0,0,0,0
1,91,1680982326417,17,8,0,3,83,0,9,0,0,0,0
1,92,1680982326433,16,8,0,3,83,0,9,0,0,0,0
1,93,1680982326449,16,8,0,3,83,0,9,0,0,0,0
1,94,1680982326464,15,8,0,3,83,0,9,0,0,0,0
1,95,1680982326480,16,8,0,3,83,0,9,0,0,0,0
1,96,1680982326498,18,8,0,3,83,0,9,0,0,0,0
1,97,1680982326513,15,8,0,3,83,0,9,0,0,0,0
1,98,1680982326529,16,8,1,3,83,0,9,0,0,0,0
1,99,1680982326546,17,9,0,3,83,0,9,0,0,0,0
1,100,1680982326562,16,9,0,3,83,0,9,0,0,0,0
1,101,1680982326578,16,9,0,3,83,0,9,0,0,0,0
1,102,1680982326594,16,9,0,3,83,0,9,0,0,0,0
1,103,1680982326610,16,9,0,3,83,0,9,0,0,0,0
1,104,1680982326626,16,9,1,3,83,0,9,0,0,0,0
1,105,1680982326642,16,10,0,3,83,0,9,0,0,0,0
1,106,1680982326658,16,9,0,3,83,0,9,0,0,0,0
1,107,1680982326674,16,9,0,3,83,0,9,0,0,0,0
1,108,1680982326691,17,9,0,3,83,0,9,0,0,0,0
1,109,1680982326708,17,9,0,3,83,0,9,0,0,0,0
1,110,1680982326724,16,9,0,3,83,0,9,0,0,0,0
1,111,1680982326740,16,9,0,3,83,0,9,0,0,0,0
1,112,1680982326757,17,9,0,3,83,0,9,0,0,0,0
1,113,1680982326774,17,9,0,3,83,0,9,0,0,0,0
1,114,1680982326791,17,8,0,3,83,0,9,0,0,0,0
1,115,1680982326808,17,8,0,3,83,0,9,0,0,0,0
1,116,1680982326825,17,8,0,3,83,0,9,0,0,0,0
1,117,1680982326841,16,8,0,3,83,0,9,0,0,0,0
1,118,1680982326857,16,8,0,3,83,0,9,0,0,0,0
1,119,1680982326873,16,8,0,3,83,0,9,0,0,0,0
1,120,1680982326889,16,8,0,3,83,0,9,0,0,0,0
